#Read position (bp)	Clipping profile
0.0	2.3484194063520274
1.0	2.330607290200556
2.0	2.2442236748763706
3.0	2.1247898324734438
4.0	1.9830136247244528
5.0	1.8281614704365203
6.0	1.762678777532847
7.0	1.685973421851657
8.0	1.6054585384386495
9.0	1.5118677084867012
10.0	1.418894639788561
11.0	1.3652523709162119
12.0	1.308830176401726
13.0	1.244377085587733
14.0	1.18517496543111
15.0	1.12422252172203
16.0	1.083141398343782
17.0	1.0415454739206937
18.0	0.9964489023926923
19.0	0.9516612114915949
20.0	0.9117126504119952
21.0	0.8791772243780946
22.0	0.8464358779262579
23.0	0.8184307010869508
24.0	0.7892929619489956
25.0	0.7633469892890494
26.0	0.7434756689582177
27.0	0.7226777067466736
28.0	0.7006442220275131
29.0	0.6826261854581059
30.0	0.6625489447093381
31.0	0.649061157334525
32.0	0.633823046407255
33.0	0.6167316517185604
34.0	0.6013905805823223
35.0	0.5827547827591071
36.0	0.5703995576829423
37.0	0.5583532132336816
38.0	0.5431151023064116
39.0	0.5305539568123108
40.0	0.5192283338258263
41.0	0.5148010448402006
42.0	0.5054316658241089
43.0	0.5011073370474513
44.0	0.49534156534524104
45.0	0.4888550721802545
46.0	0.48504554444843706
47.0	0.4793827329551948
48.0	0.4789708921193226
49.0	0.4786620114924185
50.0	0.47732352877583406
51.0	0.4760880062682175
52.0	0.47732352877583406
53.0	0.4805152952538433
54.0	0.4847366638215329
55.0	0.48803139050851024
56.0	0.4943119632555606
57.0	0.4971948491066657
58.0	0.5048139045703007
59.0	0.510682636481479
60.0	0.5172720898554336
61.0	0.5298332353495344
62.0	0.5437328635602199
63.0	0.5534111232032157
64.0	0.5677225922497732
65.0	0.5802837377438742
66.0	0.5979928936863771
67.0	0.6142606067033274
68.0	0.6306312799292457
69.0	0.6488552369165889
70.0	0.6661525520232195
71.0	0.6883919571603163
72.0	0.7050715110131387
73.0	0.723707308836354
74.0	0.7430638281223456
75.0	0.7615966657365927
76.0	0.7885722404862193
77.0	0.8148270937730696
78.0	0.8424204297765043
79.0	0.8710433678696194
80.0	0.9017255101420953
81.0	0.9427036733113754
82.0	0.9820344731371666
83.0	1.0246599996499353
84.0	1.0736690591187223
85.0	1.116191625422523
86.0	1.1769381487136668
87.0	1.2340810646909288
88.0	1.2895766173247025
89.0	1.34960241915307
90.0	1.4074660565931085
91.0	1.5019835284257692
92.0	1.591352989810028
93.0	1.6775306847162779
94.0	1.7553686026961162
95.0	1.819718733301141
96.0	1.9830136247244528
97.0	2.1160382147111605
98.0	2.2277500414414844
99.0	2.3156780599001907
100.0	2.3349316189772136
