#Coverage (X)	Coverage
1.0	99.91178448491014
2.0	99.79074874779833
3.0	99.60633603023034
4.0	99.387613969859
5.0	99.15030768213585
6.0	98.88083638553456
7.0	98.57824704275504
8.0	98.26559124349329
9.0	97.90504531990186
10.0	97.51418089720123
11.0	97.06946986704534
12.0	96.6257714390208
13.0	96.1343020163291
14.0	95.57451173218699
15.0	95.01299406793845
16.0	94.40990015147337
17.0	93.77982336644939
18.0	93.09691257610152
19.0	92.36247820671737
20.0	91.61470131513191
21.0	90.79991398838366
22.0	89.94086999201235
23.0	88.9998052230018
24.0	87.99041959254082
25.0	86.92158826048654
26.0	85.79885075614575
27.0	84.64609257685203
28.0	83.4388921417905
29.0	82.19565498381921
30.0	80.90762507274354
31.0	79.56962026824426
32.0	78.18086622751503
33.0	76.74797464682523
34.0	75.27088596134362
35.0	73.71040651210387
36.0	72.13575063302525
37.0	70.49974297775313
38.0	68.832761610228
39.0	67.12182139723608
40.0	65.3775248787409
41.0	63.60523288955549
42.0	61.776711699664595
43.0	59.90250428420049
44.0	57.969744639611925
45.0	56.008453440851824
46.0	54.00088036820596
47.0	51.96727746430131
48.0	49.91574554618866
49.0	47.814596123639916
50.0	45.69444551992057
51.0	43.55404287357425
