#Read position (bp)	Clipping profile
0.0	2.3478627729414914
1.0	2.3300611224300796
2.0	2.24372826243543
3.0	2.1240558951246116
4.0	1.9822600893169517
5.0	1.8274989195530036
6.0	1.76205470148793
7.0	1.6853944146035273
8.0	1.6049268383033894
9.0	1.5113909983330247
10.0	1.4184725566462926
11.0	1.3648618056841801
12.0	1.3084727624457204
13.0	1.2440575415200346
14.0	1.1848902060052273
15.0	1.1239735753534605
16.0	1.0827107900640036
17.0	1.0411393056327303
18.0	0.9959663312135993
19.0	0.9512049556502233
20.0	0.9112798666419708
21.0	0.8787635570373113
22.0	0.8460414480047745
23.0	0.8180527258134223
24.0	0.7889321067687431
25.0	0.7630013788561668
26.0	0.7431417340659793
27.0	0.7223559918503426
28.0	0.7003354530674405
29.0	0.6823280031281513
30.0	0.6622625589100862
31.0	0.648782696384104
32.0	0.6335535387211624
33.0	0.6164721862073224
34.0	0.6011401288304418
35.0	0.5824123808935812
36.0	0.5700644152209257
37.0	0.5580251486900867
38.0	0.5427959910271449
39.0	0.530242225926612
40.0	0.5189232573933444
41.0	0.5144985696939762
42.0	0.5051346957255459
43.0	0.5008129077401164
44.0	0.495050523759544
45.0	0.4885678417813999
46.0	0.48476055236566445
47.0	0.4792039678129694
48.0	0.4787923689572143
49.0	0.47848366981539786
50.0	0.4771459735341935
51.0	0.4760140766808668
52.0	0.47735177296207115
53.0	0.4805416640941738
54.0	0.48476055236566445
55.0	0.48805334321170585
56.0	0.49433022576197233
57.0	0.49721141775225863
58.0	0.5048259965837295
59.0	0.5106912802782408
60.0	0.5172768619703237
61.0	0.5298306270708567
62.0	0.5439278878804717
63.0	0.553806260418596
64.0	0.5682122203700274
65.0	0.5808688851844992
66.0	0.5985676359819719
67.0	0.6149286904982404
68.0	0.6313926447284477
69.0	0.6496058940956144
70.0	0.666893046037332
71.0	0.6891193842481118
72.0	0.7057891379061966
73.0	0.7244139861291186
74.0	0.7437591323496121
75.0	0.7622810808585953
76.0	0.7892408059105596
77.0	0.8154802329649524
78.0	0.8430573563005495
79.0	0.8716634767755347
80.0	0.9024304912432344
81.0	0.9433845773908749
82.0	0.9826922681154947
83.0	1.025292749686156
84.0	1.0742730135210223
85.0	1.1167705953777447
86.0	1.177481426601634
87.0	1.2345907678376655
88.0	1.290053713650676
89.0	1.3500442468769938
90.0	1.4078738861105966
91.0	1.5023358235064106
92.0	1.5916527752052851
93.0	1.6777798357720566
94.0	1.755572019509786
95.0	1.8198843407215326
96.0	1.9831861867424008
97.0	2.116132617151324
98.0	2.227778806774917
99.0	2.3156551624786483
100.0	2.334897408985203
