#GC Content (%)	Sample	HUMAN (hg19)
1.0	0.0	0.0
2.0	0.0	3.0E-6
3.0	0.0	3.0E-6
4.0	0.0	1.0E-5
5.0	0.0	8.0E-6
6.0	1.1272813356029265E-5	1.2000000000000002E-5
7.0	0.0	6.999999999999999E-6
8.0	0.0	9.999999999999999E-6
9.0	0.0	1.6E-5
10.0	0.0	1.5000000000000002E-5
11.0	0.0	1.9999999999999998E-5
12.0	0.0	1.6E-5
13.0	0.0	1.6E-5
14.0	0.0	2.4999999999999998E-5
15.0	0.0	2.2000000000000003E-5
16.0	0.0	2.6999999999999996E-5
17.0	0.0	3.3E-5
18.0	2.254562671205853E-5	3.7000000000000005E-5
19.0	7.890969349220485E-5	4.7000000000000004E-5
20.0	6.763688013617558E-5	5.4999999999999995E-5
21.0	2.818203339007316E-4	6.400000000000001E-5
22.0	9.35643508550429E-4	9.3E-5
23.0	0.0016683763766923313	1.66E-4
24.0	0.0027956577122952575	3.03E-4
25.0	0.005106584450281257	7.059999999999999E-4
26.0	0.005760407624930954	0.0016020000000000001
27.0	0.007417511188267255	0.0033690000000000005
28.0	0.009243706951943997	0.006167999999999999
29.0	0.012501550011836454	0.010352
30.0	0.014192472015240843	0.015647
31.0	0.015590300871388471	0.022148
32.0	0.0171797675545886	0.028808
33.0	0.018115411063139027	0.035106000000000005
34.0	0.01959214961277886	0.041161
35.0	0.020426337801125023	0.047408
36.0	0.02097870565557046	0.052698999999999996
37.0	0.021700165710356333	0.057517000000000006
38.0	0.021440891003167657	0.061487999999999994
39.0	0.022128532617885444	0.063321
40.0	0.022105986991173388	0.060248
41.0	0.02221871512473368	0.055508
42.0	0.02162125601686413	0.051446000000000006
43.0	0.021519800696659864	0.048194
44.0	0.02250053545863441	0.044423
45.0	0.022218715124733678	0.040655000000000004
46.0	0.02263580921890676	0.03652
47.0	0.0220721685511053	0.032315
48.0	0.023233268326776312	0.028137999999999996
49.0	0.023515088660677044	0.02458
50.0	0.02319944988670822	0.020810000000000002
51.0	0.02589365227879922	0.017532
52.0	0.020369973734344883	0.014506999999999997
53.0	0.023188177073352197	0.012007
54.0	0.023097994566503962	0.010018
55.0	0.024011092448342333	0.008414999999999999
56.0	0.023402360527116754	0.007258
57.0	0.02494673595689276	0.006174999999999999
58.0	0.024574733116143797	0.005363000000000001
59.0	0.02481146219662041	0.0046159999999999994
60.0	0.025679468825034666	0.003946
61.0	0.025623104758254515	0.0034579999999999993
62.0	0.025544195064762312	0.002915
63.0	0.025093282530521142	0.0024610000000000005
64.0	0.0243830952890913	0.0019950000000000002
65.0	0.02334599646033661	0.0016779999999999998
66.0	0.021226707549403104	0.0013500000000000003
67.0	0.0204939746812612	0.001069
68.0	0.01885941674463696	8.119999999999999E-4
69.0	0.016559762820006988	6.4E-4
70.0	0.0142150176419529	5.05E-4
71.0	0.010889537701924268	4.0299999999999993E-4
72.0	0.009018250684823412	3.2E-4
73.0	0.0070229627208062305	2.79E-4
74.0	0.006008409518763598	2.0700000000000002E-4
75.0	0.005072766010213169	2.0099999999999998E-4
76.0	0.004001848741390389	1.54E-4
77.0	0.0033705711934527496	1.12E-4
78.0	0.00383275654104995	7.699999999999999E-5
79.0	0.0021981986044257063	6.3E-5
80.0	0.002536383005106584	3.7E-5
81.0	0.0020741976575093845	2.8000000000000003E-5
82.0	0.0016120123099121848	1.6E-5
83.0	0.0010934628955348387	9.0E-6
84.0	8.680066284142534E-4	4.0E-6
85.0	5.52367854445434E-4	0.0
86.0	2.3672908047661452E-4	1.0E-6
87.0	1.1272813356029264E-4	0.0
88.0	5.636406678014632E-5	0.0
89.0	1.1272813356029265E-5	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	1.1272813356029265E-5	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	2.254562671205853E-5	0.0
